month,ACWV,AGG,AIRR,AMLP,AQWA,ARKG,ARKK,ARKQ,ARKW,ARKX,AVDE,AVDV,AVES,AVUS,AVUV,BIL,BOTZ,BRK-B,BTAL,CANE,CBOE,CEG,CIBR,CLOU,CME,COIN,COPX,CORN,COWZ,CTA,CXSE,DBMF,DFAS,DIVO,EDV,EFAV,EMB,EMXC,ESGD,EUAD,EWA,EWC,EWG,EWJ,EWT,EWU,EWZ,FNDC,FNDE,FNDF,FNDX,FNV,FTEC,GD,GDX,GDXJ,GLD,GLDM,GOVZ,GRID,GUNR,HACK,HYG,IAI,IBB,IBIT,IBKR,ICE,IEF,IEMG,IGV,IHAK,IHI,INDA,ITA,IUSV,IVV,IWD,IWN,IWS,IXUS,JEDI,JEPI,JEPQ,JQUA,KMLM,KOMP,KRE,KWEB,LMT,LQD,LTPZ,MOAT,MSCI,MTUM,NDAQ,NLR,NOC,NUKZ,PALL,PAVE,PDBC,PPA,PPLT,PRNT,PSCI,PSLV,QQEW,QTUM,QUAL,REMX,ROBO,ROKT,RPV,RTX,SCHD,SCHG,SCHP,SCHX,SETM,SHLD,SHY,SIL,SILJ,SKYY,SMH,SOXX,SPDW,SPGI,SPLV,SPMO,SPYG,STIP,TAIL,TIP,TIPZ,TLH,TLT,URA,URNM,USMV,V,VALQ,VFQY,VGLT,VNQ,VOO,VOX,VT,VTI,VTIP,VTV,WEAT,WM,WPM,XAR,XBI,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XSD,XSW,XT,ZROZ
2001-09,,,,,,,,,,,,,,,,,,0.007785,,,,,,,,,,,,,,,,,,,,,,,-0.175401,-0.098973,-0.184262,-0.080963,-0.199549,-0.077734,-0.169675,,,,,,,0.118541,,,,,,,,,,,-0.153189,,,,,,-0.236641,,,,,-0.079861,-0.086054,-0.075817,-0.11574,-0.098039,,,,,,,,,,0.097592,,,,,,,,0.231708,,,,,,,,,,,,,,,,,-0.320176,,,,,,,,,,,-0.325114,-0.303457,,-0.017721,,,-0.118046,,,,,,,,,,,,,,,,,,-0.086834,,,,-0.135133,,,,-0.096233,-0.056346,-0.146519,-0.16377,-0.001205,-0.009558,-0.144792,,,,
2001-10,,,,,,,,,,,,,,,,,,0.010301,,,,,,,,,,,,,,,,,,,,,,,0.138781,-0.003109,0.057074,-0.00119,0.102817,0.019285,0.032609,,,,,,,-0.073102,,,,,,,,,,,0.160726,,,,,,0.234667,,,,,-0.005628,0.017807,-0.002124,0.02557,0.008311,,,,,,,,,,0.114743,,,,,,,,-0.010396,,,,,,,,,,,,,,,,,0.158925,,,,,,,,,,,0.20839,0.214181,,-0.096564,,,0.071116,,,,,,,,,,,,,,,,,,0.020538,,,,-0.08377,,,,0.040279,-0.014182,0.017744,0.109091,-0.006385,-0.052631,0.005106,,,,
2001-11,,,,,,,,,,,,,,,,,,-0.008921,,,,,,,,,,,,,,,,,,,,,,,0.060365,0.101871,0.103422,-0.001192,0.132822,0.011213,0.188421,,,,,,,0.018996,,,,,,,,,,,0.095597,,,,,,0.162527,,,,,0.06481,0.07765,0.055942,0.070645,0.07258,,,,,,,,,,-0.045268,,,,,,,,-0.056694,,,,,,,,,,,,,,,,,0.121522,,,,,,,,,,,0.193449,0.165235,,0.079202,,,0.106027,,,,,,,,,,,,,,,,,,0.076161,,,,0.195919,,,,-0.055846,0.064942,0.100041,0.149415,0.044176,-0.012626,0.116003,,,,
2001-12,,,,,,,,,,,,,,,,,,0.082297,,,,,,,,,,,,,,,,,,,,,,,0.019465,0.002803,0.040662,-0.079953,0.215333,0.033735,0.124889,,,,,,,-0.042214,,,,,,,,,,,-0.037017,,,,,,0.056897,,,,,0.029079,0.005218,0.020061,0.054758,0.041133,,,,,,,,,,0.004736,,,,,,,,0.073817,,,,,,,,,,,,,,,,,0.073588,,,,,,,,,,,-0.018297,-0.019752,,0.079292,,,-0.000402,,,,,,,,,,,,,,,,,,0.014421,,,,0.089079,,,,0.057178,0.019478,0.045283,-0.022005,-0.019629,0.032047,0.024194,,,,
2002-01,,,,,,,,,,,,,,,,,,-0.028515,,,,,,,,,,,,,,,,,,,,,,,0.014815,-0.001883,-0.045695,-0.07393,0.052876,-0.035398,-0.090551,,,,,,,0.128651,,,,,,,,,,,-0.140033,,,,,,0.009668,,,,,-0.013946,-0.010408,-0.005957,0.017579,0.006929,,,,,,,,,,0.13499,,,,,,,,0.107132,,,,,,,,,,,,,,,,,0.063438,,,,,,,,,,,0.082437,0.042706,,0.050837,,,-0.039194,,,,,,,,,,,,,,,,,,-0.008729,,,,-0.096835,,,,-0.035581,-0.011408,-0.063177,-0.010833,-0.006693,-0.036033,-0.007421,,,,
2002-02,,,,,,,,,,,,,,,,,,-0.011415,,,,,,,,,,,,,,,,,,,,,,,-0.006256,0.009434,-0.010409,0.046219,-0.029075,-0.016231,0.181818,,,,,,,0.014739,,,,,,,,,,,-0.04917,,,,,,-0.157344,,,,,0.00495,-0.018561,0.005084,0.003454,0.018606,,,,,,,,,,0.067005,,,,,,,,-0.037414,,,,,,,,,,,,,,,,,0.065216,,,,,,,,,,,-0.109051,-0.110181,,0.030875,,,-0.036944,,,,,,,,,,,,,,,,,,-0.017517,,,,-0.087092,,,,0.034175,-0.017307,0.025047,-0.13016,0.021007,-0.001851,0.045982,,,,
2002-03,,,,,,,,,,,,,,,,,,-0.023093,,,,,,,,,,,,,,,,,,,,,,,0.038825,0.033646,0.075736,0.089692,0.086207,0.05165,-0.030769,,,,,,,0.03378,,,,,,,,,,,0.035594,,,,,,0.065083,,,,,0.046336,0.03366,0.047294,0.071962,0.047204,,,,,,,,,,0.02074,,,,,,,,0.056148,,,,,,,,,,,,,,,,,0.017134,,,,,,,,,,,0.152874,0.154457,,0.037233,,,0.019807,,,,,,,,,,,,,,,,,,0.036719,,,,0.035728,,,,0.088525,0.06616,0.027055,0.049395,0.016127,0.053322,0.058014,,,,
2002-04,,,,,,,,,,,,,,,,,,0.027016,,,,,,,,,,,,,,,,,,,,,,,0.0,0.007232,-0.029335,0.036855,-0.024227,0.006139,-0.013605,,,,,,,0.036696,,,,,,,,,,,-0.158236,,,,,,-0.201503,,,,,-0.028746,-0.057123,-0.037043,0.040029,0.0,,,,,,,,,,0.092393,,,,,,,,0.067315,,,,,,,,,,,,,,,,,-0.054312,,,,,,,,,,,-0.108747,-0.094482,,-0.062418,,,-0.096275,,,,,,,,,,,,,,,,,,-0.044577,,,,-0.033394,,,,-0.035999,-0.025414,-0.069016,-0.120904,-0.037165,-0.060681,-0.006084,,,,
2002-05,,,,,,,,,,,,,,,,,,0.01603,,,,,,,,,,,,,,,,,,,,,,,0.062627,0.015261,-0.014103,0.061612,-0.041096,-0.019661,-0.072797,,,,,,,0.036152,,,,,,,,,,,-0.107088,,,,,,-0.084421,,,,,0.00667,-0.008059,0.000359,-0.031615,-0.001079,,,,,,,,,,-0.011777,,,,,,,,0.008628,,,,,,,,,,,,,,,,,-0.015123,,,,,,,,,,,-0.072824,-0.072868,,-0.009504,,,-0.011716,,,,,,,,,,,,,,,,,,-0.014105,,,,0.042141,,,,-0.017594,-0.003023,0.004337,-0.04147,-0.011142,-0.008311,0.013941,,,,
2002-06,,,,,,,,,,,,,,,,,,-0.096278,,,,,,,,,,,,,,,,,,,,,,,-0.04943,-0.061008,-0.009537,-0.059152,-0.074107,-0.038728,-0.198347,,,,,,,0.057157,,,,,,,,,,,-0.119931,,,,,,-0.089553,,,,,-0.055383,-0.071859,-0.057905,-0.030518,-0.049817,,,,,,,,,,0.120065,,,,,,,,0.030418,,,,,,,,,,,,,,,,,-0.014084,,,,,,,,,,,-0.210663,-0.19883,,-0.054332,,,-0.106282,,,,,,,,,,,,,,,,,,-0.068933,,,,-0.051002,,,,-0.036626,-0.042773,-0.061331,-0.133626,-0.101899,-0.067259,-0.07153,,,,
